ctr,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,dff,Active,Serious Critical,Tot Cases/1M pop,Deaths/1M pop,Total Test
Trinidad and Tobago,Trinidad and Tobago,"4,136",,67 ,,"1,960",,"2,109",11,"2,953",48,"29,857"
Lithuania,Lithuania,"3,932",,87 ,,"2,246",,"1,599",,"1,449",32,"737,561"
Syria,Syria,"3,924",,181 ,,998,,"2,745",,223,10,
Aruba,Aruba,"3,721",,25 ,,"2,501",,"1,195",11,"34,818",234,"29,610"
Bahamas,Bahamas,"3,618",,80 ,,"1,915",,"1,623",79,"9,180",203,"18,263"
Gambia,Gambia,"3,542",,110 ,,"2,011",,"1,421",,"1,457",45,"14,749"
Mayotte,Mayotte,"3,541",,40 ,,"2,964",,537,2,"12,910",146,"13,000"
Thailand,Thailand,"3,516",+2,59 ,,"3,353",+8,104,1,50,0.8,"749,213"
Réunion,Réunion,"3,501",,15 ,,"2,482",,"1,004",,"3,904",17,"35,419"
Somalia,Somalia,"3,465",,98 ,,"2,877",,490,,217,6,
Sri Lanka,Sri Lanka,"3,324",,13 ,,"3,129",,182,,155,0.6,"273,708"
Mali,Mali,"3,034",,130 ,,"2,382",,522,,149,6,"50,528"
Estonia,Estonia,"3,033",,64 ,,"2,387",,582,2,"2,286",48,"194,429"
Malta,Malta,"2,856",,25 ,,"2,173",,658,,"6,464",57,"238,084"
South Sudan,South Sudan,"2,664",,49 ,,"1,290",,"1,325",,237,4,"12,044"
Botswana,Botswana,"2,567",,13 ,,624,,"1,930",1,"1,087",6,"156,054"
Guyana,Guyana,"2,535",,69 ,,"1,464",,"1,002",14,"3,219",88,"12,637"
Iceland,Iceland,"2,476",,10 ,,"2,142",,324,,"7,245",29,"263,180"
Benin,Benin,"2,325",,40 ,,"1,954",,331,,191,3,"180,486"
Guinea-Bissau,Guinea-Bissau,"2,324",,39 ,,"1,549",,736,5,"1,175",20,
Sierra Leone,Sierra Leone,"2,183",,72 ,,"1,665",,446,,272,9,
Yemen,Yemen,"2,029",,586 ,,"1,245",,198,,68,20,
Uruguay,Uruguay,"1,946",,47 ,,"1,661",,238,2,560,14,"221,313"
Burkina Faso,Burkina Faso,"1,929",,56 ,,"1,252",,621,,92,3,
New Zealand,New Zealand,"1,827",+3,25 ,,"1,737",,65,3,365,5,"930,779"
Andorra,Andorra,"1,753",,53 ,,"1,203",,497,4,"22,680",686,"137,457"
Belize,Belize,"1,706",+37,22 ,+1,"1,019",+15,665,3,"4,273",55,"13,419"
Togo,Togo,"1,701",,41 ,,"1,297",,363,,204,5,"85,422"
